X,Y,NAME
221465.206100002,877464.501800001,710 East St opp Kendall St
221511.2245,877468.867400002,East St @ Kendall St
221849.4309,877503.954100002,High Plain St opp Peach St
221830.748599999,877511.615800001,High Plain St @ Peach St
237764.766599998,877603.679900002,S Main St @ Selwyn Rd
237759.935099997,877614.052299999,S Main St opp Selwyn Rd
220628.630199999,877695.987500001,Main St @ Hanson Ave
240610.246799998,877707.5451,S Franklin St @ Technical Park Dr
222586.644699998,877711.387200002,Washington St @ Morse St
220658.5669,877755.451699998,Main St @ Neponset View Terr
222653.118299998,877810.047600001,Washington St @ Lewis Park Dr
240624.273800001,877810.945300002,S Franklin St @ Holbrook HS
237684.591600001,877850.071699999,S Main St @ Woodland Pkwy
228981.901,877860.6063,Washington St from High St to Church St (FLAG)
240633.995300002,877867.94,S Franklin St opp Adams St
228986.565800004,877874.249600001,Washington St from Church St to High St (FLAG)
237677.038,877884.692,S Main St @ Stoughton St
240636.609499998,877887.472199999,S Franklin St @ Adams St
222753.697899997,877961.169300001,Washington St @ Pilgrim Way
222765.038900003,877978.260200001,Washington St @ Laffayette Dr
237653.187600002,878012.561799999,S Main St @ Richard Rd
240641.212300003,878014.168200001,S Franklin St opp Chandler St
237648.4199,878033.497400001,309 S Main opp Rtichard Rd
240639.981299996,878038.132100001,S Franklin St @ Chandler St
240634.7148,878091.417399999,S Franklin St @ Holbrook Park
220907.236,878149.545299999,745 Main St
237600.908,878185.878899999,S Main St @ Fitch Terr
237600.094599999,878192.062600002,S Main St opp Fitch Terr
220958.788699999,878224.3924,Main St @ Spear Ave
240623.223,878258.359099999,S Franklin St opp Norfolk Rd
229273.163400002,878263.219900001,Washington St - Church St to Canton Ctr Sta (FLAG)
229275.411799997,878267.905699998,Washington St - Canton Ctr Sta to Church St (FLAG)
222970.797399998,878298.077100001,Washington St @ Polley Ln
222982.199500002,878315.440699998,Washington St @ Short St
237603.450599998,878328.955699999,S Main St opp Cole Terr
237609.542,878355.323,S Main St @ Cole Terr
240618.506700002,878366.4782,S Franklin St @ Plymouth St
240614.740199998,878387.981699999,N Franklin St @ Union St
237623.7751,878415.3398,S Main St opp Martin Terr
240602.772200003,878496.305,N Franklin St @ Jewel Rd
238891.2,878497.551100001,316 Union St opp Fencourt Ave
237649.898500003,878506.083900001,S Main St @ Fairmount St
238870.5603,878516.348900001,Union St @ Fencourt Ave
229292.823100001,878525.4311,Washington St opp Canton Center Station
229292.047,878534.3215,Washington St @ Canton Center Station
240611.480800003,878537.691,N Franklin St @ Linfield St
239037.802100003,878551.543299999,Holbrook/Randolph Comm Rail Sta
223150.728699997,878574.012600001,Washington St opp Washington Green
237676.112599999,878591.132800002,S Main St @ Darrell Dr
223161.977,878591.989599999,Washington St @ Washington Green
237681.874899998,878609.285700001,S Main St @ Fairview Ave
221252.0167,878656.930199999,565 Main St @ Stop & Shop Plaza
238577.871299997,878695.2753,Union St @ Prospect Ave
238559.817699999,878704.973900001,Union St opp Prospect Ave
240736.808,878722.619800001,N Franklin St @ School St
237726.6963,878756.951299999,S Main St @ Van Beal Rd
223268.451499999,878763.560800001,238 Washington St opp May St
229335.851300001,878769.9144,Washington St - Canton Ctr Sta to Pequit St (FLAG)
221364.610200003,878771.528499998,Main St @ Sherwood Dr.
240762.653499998,878772.1644,N Franklin St. @ Elm Ave
223278.8917,878780.299600001,205 Washington St @ East Walpole Loop
237734.579700001,878784.695900001,S Main St @ Woodlawn St
229344.367700003,878790.123100001,Washington St - Lewis St to Canton Ctr sta (FLAG)
237762.509,878876.290399998,S Main St @ Maple St
237776.519699998,878910.035300002,S Main St @ Elgin Court
